arm,lang,schedule,n,pass_at_1,compile_rate,n_passed,n_compiled,n_timeout,mean_wall_s,median_wall_s,p90_wall_s,max_wall_s,mean_tokens,mean_rollbacks,total_rollbacks,mean_checker_calls
plain_rust,rust,plain,156,0.6987179487179487,0.8653846153846154,109,135,0,0.7037239691529137,0.6187916009803303,1.1339958789758384,5.088138071936555,70.32692307692308,0,0,0
plain_cpp,cpp,plain,161,0.7701863354037267,0.9627329192546584,124,155,0,0.8654036016170201,0.7703569340519607,1.3468604090157896,5.097278001019731,86.4968944099379,0,0,0
sync_naive_rust,rust,sync,156,0.7371794871794872,0.8782051282051282,115,137,0,1.051473474889719,0.9418427484924905,1.9699784920085222,6.131885512033477,69.72435897435898,0.17307692307692307,27,1.75
async_naive_rust,rust,async,156,0.6923076923076923,0.8589743589743589,108,134,0,0.7138543056543523,0.6303854365251027,1.1319801679928787,5.089265638962388,69.65384615384616,0.17307692307692307,27,2.3141025641025643
sync_naive_cpp,cpp,sync,161,0.7515527950310559,0.9316770186335404,121,150,0,2.4951457467330735,2.4107468120055273,3.697717061964795,6.7813010410172865,87.22360248447205,0.06832298136645963,11,2.968944099378882
async_naive_cpp,cpp,async,161,0.7701863354037267,0.968944099378882,124,156,0,1.1560509049381356,1.091310349991545,1.7120260009542108,5.090101017034613,86.21739130434783,0.055900621118012424,9,1.8074534161490683
async_entropy_rust,rust,async-entropy,156,0.6602564102564102,0.8076923076923077,103,126,0,0.8923955563633428,0.6538584069930948,1.759541581501253,5.204736568033695,70.09615384615384,0.7371794871794872,115,2.9743589743589745
async_entropy_cpp,cpp,async-entropy,161,0.7639751552795031,0.9627329192546584,123,155,0,1.2714386668774988,1.0885061100125313,1.8036204020027071,5.821073132101446,86.26708074534162,0.2608695652173913,42,2.018633540372671
